Srl_Num,I generally plan my expenses and never spend more than my budget ,I often take opinions or check reviews before buying,I often experiment with new brands rather than just sticking to old ones ,I like to spend my weekends with friends than staying at home . ,My favorite subjects in school were Mathematics & Science rather than Literature,"I make it a point to do some physical exercises (like swimming, walking, yoga) almost everyday","When I go out for shopping, I end up buying more items just by impulse",I am active on almost all Social media  ,"I like light, sober colors to bright, exciting colors when it comes to clothing ",I prefer watching videos/shows online rather than watching them in the television,I prefer ordering in from online apps than dining out,"I follow Brands, celebrities, influencers on social media",I always try to keep up with new fashion trends,I prefer reading or listening to music rather than exercising or playing a sport,Which company's mobile phone do you use ?,From where did you purchase your phone?,Which flavor of soft drink do you like to have the most ?,Given below is a list of products. Please tell us how frequently do you use these products  [Shower gels],Given below is a list of products. Please tell us how frequently do you use these products  [Hand sanitizers],Given below is a list of products. Please tell us how frequently do you use these products  [Facewashes],Given below is a list of products. Please tell us how frequently do you use these products  [Hair Conditioner],I generally read news from,I generally prefer to buy clothes from,Age ,Gender,Occupation ,Your hometown ?,Roll Number ,Institute ,
11,4,7,8,5,5,4,7,6,6,8,8,8,3,7,One Plus,Retail,Cola,Less Often,Everyday,Everyday,Less Often,Online,Online,18-23,Female,Student,Delhi,B2019095,GIM,
12,3,8,2,5,3,5,0,7,7,8,2,8,5,5,Others,Retail,White/Colourless,Less Often,Everyday,Everyday,Less Often,Online,Online,18-23,Male,Student,Other towns in West,B2019086,GIM,
13,5,9,9,7,10,3,9,9,10,8,6,7,7,5,Xiaomi,Online,Fruit flavour,Everyday,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in East,B2019070,Goa institute of Management,
14,3,6,4,7,1,3,8,8,6,8,5,7,5,6,One Plus,Online,Cola,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,18-23,Male,Student,Delhi,B2019072,Goa Institute of Management,
15,6,10,8,6,1,6,1,0,5,10,1,1,3,9,Others,Online,Cola,Never,Never,Everyday,Never,Online,Retail Stores,24-28,Male,Student,Other towns in West,B2019092,GIM,
16,4,8,3,4,1,8,8,5,8,7,7,8,4,6,Xiaomi,Second hand mobile sources,Orange,Less Often,Less Often,Everyday,Less Often,Newspaper,Retail Stores,18-23,Female,Student,Other towns in West,B2019084 ,Goa institute of management ,
17,8,9,5,8,8,5,2,6,7,8,6,8,7,7,Xiaomi,Retail,Cola,Less Often,Less Often,Everyday,Everyday,Online,Online,24-28,Male,Student,Delhi,B2019114,GIM,
18,8,8,3,3,9,6,1,8,8,5,5,1,0,2,One Plus,Online,I do not consume soft drinks at all,Never,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Delhi,B2019076 ,Goa institute of management ,
19,5,0,0,0,8,0,5,7,5,8,10,5,8,10,One Plus,Online,Cola,Everyday,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Female,Student,Delhi,B2019082,Goa Institute of Management,
20,6,8,7,4,9,5,4,3,8,8,5,2,7,5,One Plus,Online,Fruit flavour,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,18-23,Male,Student,Other towns in North,B2019081,Goa Institute of Management,
21,6,10,9,7,10,10,8,10,7,5,7,2,6,5,Samsung,Retail,Orange,Never,Less Often,Less Often,Less Often,Online,Retail Stores,29-33,Male,Student,Other towns in North,B2019074,Goa Institute of Management ,
22,8,9,6,2,8,6,6,9,5,10,5,6,8,6,Oppo,Online,I do not consume soft drinks at all,Never,Everyday,Everyday,Less Often,Online,Online,24-28,Female,Student,Other towns in West,B2019099,Goa Institute of Management,
23,8,10,1,9,3,6,10,6,10,10,10,10,8,1,Apple,Retail,Cola,Less Often,Less Often,Everyday,Never,Online,Online,18-23,Male,Student,Other towns in North,B2019117,Goa Institute of Management,
24,7,10,4,7,10,5,9,7,9,10,8,0,6,2,Apple,Retail,Orange,Everyday,Less Often,Everyday,Never,Online,Online,24-28,Female,Student,Other towns in West,B2019078,Goa Institute of Management,
25,6,4,9,6,2,3,9,3,9,5,2,1,2,8,Others,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Female,Student,Delhi,B2019068,Goa Institute of Management,
26,7,8,8,3,7,1,7,1,8,9,8,1,1,7,Xiaomi,Online,Cola,Never,Less Often,Less Often,Never,Online,Retail Stores,29-33,Male,Student,Delhi,B2019113,Goa Institute of Management,
27,7,10,6,7,10,8,2,5,9,8,3,5,3,5,Xiaomi,Online,Fruit flavour,Never,Never,Everyday,Everyday,Online,Online,24-28,Male,Student,Other towns in South,B2019107,Goa Institute of Management,
28,1,8,9,10,8,8,1,5,3,1,1,7,4,5,Others,Online,Cola,Less Often,Never,Everyday,Never,Online,Online,24-28,Male,Student,Other towns in South,B2019093,GOA INSTITUTE OF MANAGEMENT,
29,2,8,5,6,4,3,9,7,6,6,5,3,1,6,Samsung,Retail,Orange,Everyday,Never,Everyday,Everyday,Online,Retail Stores,18-23,Female,Student,Other towns in East,B2019073,Goa Institute of Management,
30,2,10,9,9,10,8,9,8,10,9,9,7,8,2,Samsung,Online,Cola,Less Often,Never,Less Often,Never,Online,Online,24-28,Male,Student,Other towns in North,B2019096,Goa Institute of Management,
31,8,10,7,8,9,3,5,9,7,7,8,7,8,3,Others,Online,Cola,Everyday,Less Often,Everyday,Never,Online,Online,24-28,Male,Student,Delhi,B2019100,Goa Institute of Management,
32,2,7,7,8,9,5,9,8,8,8,5,6,6,7,One Plus,Retail,Cola,Everyday,Less Often,Everyday,Never,Online,Retail Stores,24-28,Female,Student,Other towns in West,B2019097,Goa Institute of Management,
33,5,7,6,5,7,7,5,6,7,6,5,5,6,4,One Plus,Retail,Cola,Less Often,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in East,B2019101 ,Goa Institute Of Management ,
34,7,9,9,1,1,6,5,2,9,9,7,8,8,7,Samsung,Retail,I do not consume soft drinks at all,Everyday,Less Often,Everyday,Everyday,Online,Online,24-28,Female,Student,Kolkata,B2019089,GIM,
35,8,8,3,8,3,5,9,1,9,10,7,0,5,5,Apple,Retail,Fruit flavour,Less Often,Everyday,Everyday,Everyday,Online,Retail Stores,18-23,Male,Student,Delhi,B2019102,GIM,
36,8,8,5,9,1,5,1,5,9,3,0,4,7,7,Xiaomi,Online,White/Colourless,Never,Never,Everyday,Never,Newspaper,Retail Stores,24-28,Male,Student,Mumbai,B2019090,Goa Institute of Management,
37,8,8,8,4,5,7,3,3,8,5,3,3,3,4,Xiaomi,Online,Cola,Never,Less Often,Less Often,Never,Newspaper,Retail Stores,18-23,Male,Student,Other towns in North,B2019067,GOA INSTITUTE OF MANAGEMENT,
38,6,8,5,7,8,1,6,7,8,8,5,3,5,5,Vivo,Online,Orange,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Female,Student,Other towns in East,B2019109,Goa Institute of management ,
39,5,7,8,6,10,4,7,5,6,7,3,3,3,6,Apple,Retail,White/Colourless,Never,Less Often,Everyday,Never,Online,Retail Stores,24-28,Male,Student,Delhi,B2019106,Goa Institute of Management,
40,10,10,5,5,8,7,10,8,5,8,2,0,2,3,Others,Online,White/Colourless,Everyday,Never,Less Often,Never,Online,Retail Stores,24-28,Male,Student,Other towns in West,B2019064,Goa Institute of Management,
41,3,7,9,4,8,6,7,3,2,9,3,3,5,5,Samsung,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Student,Other towns in North,B2019077,Goa Institute Of Management,
42,5,7,6,2,1,6,4,7,2,7,7,4,3,5,Others,Retail,Cola,Less Often,Everyday,Everyday,Everyday,Online,Retail Stores,18-23,Female,Student,Delhi,B2019112,Goa Institute of management,
43,7,8,3,5,9,8,3,8,5,7,7,8,5,3,One Plus,Online,Cola,Less Often,Never,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in East,B2019108,Goa Institute Of Management,
44,3,7,8,9,10,6,3,3,4,10,7,7,7,7,One Plus,Online,I do not consume soft drinks at all,Everyday,Everyday,Everyday,Less Often,Online,Online,24-28,Male,Student,Other towns in North,B2019061,Goa Institute Of Management,
45,8,10,8,8,7,5,7,9,8,10,6,6,6,10,Others,Online,White/Colourless,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Student,Other towns in North,B2019071,G.I.M,
46,10,10,7,10,2,10,4,10,10,10,0,8,6,0,Xiaomi,Online,Cola,Everyday,Everyday,Everyday,Less Often,Newspaper,Retail Stores,24-28,Female,Student,Delhi,B2019085,GIM,
47,6,7,4,4,5,6,10,8,10,10,8,5,9,5,Others,Online,Fruit flavour,Everyday,Less Often,Everyday,Never,Online,Retail Stores,18-23,Female,Student,Delhi,B2019065,Goa Institute of Management,
48,4,5,8,6,10,2,2,6,2,8,0,1,1,8,Vivo,Retail,Orange,Less Often,Everyday,Everyday,Never,Online,Online,24-28,Male,Student,Kolkata,B2019069,GIM,
49,2,10,10,8,10,3,10,8,2,5,5,8,6,0,Apple,Online,Cola,Everyday,Less Often,Everyday,Everyday,Online,Online,24-28,Female,Student,Other towns in West,B2019080,GOA INSTITUTE OF MANAGEMENT,
50,3,9,6,6,4,7,7,1,8,9,8,8,7,3,Xiaomi,Online,Cola,Everyday,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Female,Student,Other towns in East,B2019103,GIM,
51,5,8,6,9,10,9,7,8,4,8,7,7,7,3,Apple,Retail,Cola,Never,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Mumbai,B2019110,GIM,
52,8,9,7,6,10,3,3,8,6,7,4,9,8,4,One Plus,Online,Cola,Less Often,Less Often,Less Often,Less Often,Online,Retail Stores,18-23,Male,Student,Other towns in South,B2019116,Goa institute of Management,
53,5,10,10,10,0,10,5,0,5,10,5,5,5,5,One Plus,Online,White/Colourless,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,18-23,Male,Student,Delhi,B2019062,Goa Institute of Management,
54,10,0,5,5,10,6,10,10,8,10,3,5,8,10,Others,Online,Orange,Less Often,Never,Less Often,Never,Online,Online,18-23,Male,Student,Other towns in West,B2019098,"GIM, Goa ",
55,7,9,2,1,9,6,10,9,10,9,3,2,7,5,Apple,Retail,Cola,Less Often,Less Often,Everyday,Everyday,Online,Retail Stores,18-23,Female,Student,Mumbai,B2019001,Goa Institute of Management ,
56,8,9,2,4,9,4,6,2,9,10,9,1,6,8,Others,Online,Cola,Never,Never,Never,Never,Online,Online,24-28,Male,Student,Chennai,B2019022,Goa Institute of Management,
57,9,9,6,2,4,8,2,6,10,10,10,2,9,7,Others,Online,Cola,Everyday,Everyday,Everyday,Less Often,Online,Online,18-23,Female,Student,Delhi,B2018011,Goa Institute of Management,
58,6,10,9,10,10,8,9,8,5,10,9,10,9,8,Samsung,Online,Orange,Less Often,Everyday,Everyday,Less Often,Online,Online,18-23,Male,Student,Other towns in West,B2019003,Goa Institute of Management ,
59,2,4,0,9,10,2,8,9,8,9,10,10,8,9,Apple,Retail,Cola,Less Often,Less Often,Everyday,Everyday,Online,Retail Stores,18-23,Male,Student,Delhi,B2019025,Goa institute of management,
60,7,9,6,8,9,7,8,9,10,9,9,2,3,8,Xiaomi,Retail,White/Colourless,Less Often,Less Often,Less Often,Never,Online,Retail Stores,24-28,Male,Student,Other towns in West,B2019012,Goa Institute of Management,
61,8,4,6,6,9,5,5,4,6,6,3,4,6,6,Samsung,Online,Cola,Less Often,Everyday,Less Often,Less Often,Online,Online,24-28,Male,Student,Kolkata,B2019052,Goa institute of management,
62,6,8,6,5,0,1,8,7,0,5,2,3,5,8,Samsung,Online,Orange,Everyday,Less Often,Everyday,Everyday,Online,Online,24-28,Female,Student,Other towns in West,B2019002,Goa Institute of Management,
63,3,8,8,6,10,6,8,8,6,10,2,8,5,8,Others,Retail,Cola,Less Often,Less Often,Less Often,Less Often,Online,Online,24-28,Male,Student,Other towns in South,B2019004,GIM,
64,8,7,8,6,6,1,7,8,9,3,3,2,4,9,One Plus,Online,Orange,Never,Never,Less Often,Never,Online,Online,24-28,Male,Student,Other towns in South,B2019008,Goa Institute Of Management ,
65,7,10,10,10,0,8,5,10,9,10,1,10,6,3,One Plus,Online,Cola,Everyday,Everyday,Everyday,Everyday,Online,Online,18-23,Female,Student,Other towns in East,B2019049,Goa institute of management,
66,6,9,2,10,10,8,2,5,3,10,10,0,0,10,Others,Online,White/Colourless,Never,Less Often,Everyday,Never,Online,Retail Stores,24-28,Male,Student,Other towns in East,B2019020,Goa Institute of Management,
67,6,7,7,5,7,5,6,5,7,7,6,5,4,6,Others,Online,I do not consume soft drinks at all,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Student,Delhi,B2019043,Goa Institute of Management,
68,8,9,6,2,5,9,5,4,7,9,9,10,6,4,Xiaomi,Online,Cola,Never,Less Often,Everyday,Never,Online,Retail Stores,18-23,Male,Student,Delhi,B2019040,Goa Institute of management,
69,7,10,5,7,9,6,7,6,8,10,7,6,4,3,Apple,Retail,Cola,Everyday,Everyday,Everyday,Less Often,Online,Online,24-28,Male,Student,Delhi,B2019010,Goa Institute of Management,
70,3,8,7,6,5,0,5,7,5,7,5,5,7,8,Samsung,Online,Cola,Never,Less Often,Everyday,Never,Online,Retail Stores,18-23,Male,Student,Other towns in West,Shawn Colaco ,Goa Institute of Management ,
71,8,8,6,9,9,7,3,5,4,9,7,5,6,6,Others,Online,I do not consume soft drinks at all,Less Often,Never,Never,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in South,B2019023 ,Goa institute of management ,
72,0,10,3,9,7,0,7,6,10,10,7,0,5,0,One Plus,Online,Cola,Never,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Student,Other towns in West,B2019038,Goa Institute of Management,
73,2,4,8,10,10,9,5,10,4,10,3,2,4,7,Xiaomi,Online,Orange,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in East,B2019037,Goa Institute of Management,
74,7,8,8,4,5,5,7,4,7,5,5,7,4,7,Xiaomi,Retail,Cola,Never,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in West,B2019045,Goa Institute of Management,
75,3,6,5,7,6,5,6,7,5,7,4,4,5,6,Apple,Retail,Cola,Less Often,Less Often,Less Often,Never,Newspaper,Online,24-28,Male,Student,Other towns in North,B2019030,Goa Institute of Management ,
76,8,9,7,7,9,8,7,8,7,9,6,8,9,4,One Plus,Online,Orange,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Delhi,B2019041,Goa Institute of Management,
77,4,8,8,2,0,1,4,2,2,10,2,2,0,10,One Plus,Online,Cola,Everyday,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Female,Student,Other towns in North,B2019026,Goa Institute of Management,
78,2,4,5,8,9,9,3,7,8,9,2,6,6,0,Others,Online,Fruit flavour,Everyday,Less Often,Everyday,Never,Online,Retail Stores,24-28,Male,Student,Kolkata,B2019005 ,Goa institute of management ,
79,3,8,2,4,8,3,6,3,2,9,5,7,1,4,One Plus,Online,I do not consume soft drinks at all,Never,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Female,Student,Other towns in West,B2019048,Goa Institute of Management,
80,6,8,6,8,7,5,6,3,3,8,5,4,8,9,Xiaomi,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Female,Student,Other towns in North,Anugya Jha,"GIM, GOoa",
81,6,9,7,9,10,5,9,8,9,10,10,9,7,10,Apple,Retail,Cola,Everyday,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Female,Student,Mumbai,B2019006,Goa Institute of Management,
82,3,6,4,9,10,9,6,5,8,8,4,2,1,0,One Plus,Online,White/Colourless,Less Often,Less Often,Everyday,Never,Online,Retail Stores,24-28,Male,Student,Other towns in North,B2019016,Goa institute of Management,
83,8,9,5,5,7,10,3,4,7,7,5,5,5,0,Xiaomi,Retail,White/Colourless,Everyday,Less Often,Never,Never,Online,Retail Stores,24-28,Male,Student,Other towns in North,B2019055,GOA INSTITUTE OF MANAGEMENT,
84,7,10,5,10,10,8,7,10,8,6,6,5,6,4,One Plus,Retail,Cola,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,18-23,Male,Student,Delhi,B2019028,Goa Institute of Management,
85,8,9,6,0,7,5,4,3,5,8,5,5,6,5,One Plus,Retail,Cola,Everyday,Less Often,Never,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in West,B2019035,Goa institute of Management,
86,8,9,8,6,9,9,4,4,8,8,4,8,8,5,Xiaomi,Online,Cola,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Female,Student,Hyderabad,B2019024,GIM,
87,7,6,5,5,10,9,6,0,8,6,3,5,5,0,Apple,Online,Fruit flavour,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Student,Other towns in North,B2019009,GIM,
88,2,2,1,10,1,2,9,9,2,5,2,8,2,3,Samsung,Retail,Cola,Never,Never,Everyday,Never,Online,Retail Stores,24-28,Male,Student,Other towns in South,B2019053 ,Goa Institute of Management ,
89,5,10,7,5,8,6,5,9,9,9,8,9,9,9,Apple,Retail,Orange,Everyday,Less Often,Everyday,Everyday,Online,Online,24-28,Female,Student,Other towns in North,B2019013,Goa Institute Of Management ,
90,3,7,5,7,8,8,10,6,6,10,4,5,8,5,Xiaomi,Online,Fruit flavour,Never,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Female,Student,Delhi,B2019019,Goa Institute of Management,
91,7,9,9,7,10,5,10,6,2,8,1,6,10,3,Samsung,Retail,I do not consume soft drinks at all,Everyday,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Female,Student,Other towns in East,B2019011,GOA INSTITUTE OF TECHNOLOGY,
92,9,10,4,6,10,7,4,3,9,3,5,3,7,4,Samsung,Retail,Fruit flavour,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Female,Student,Other towns in North,Prachi Gopalani ,Goa institude of Management ,
93,2,8,6,7,10,8,5,5,5,5,2,9,6,2,Others,Online,Fruit flavour,Less Often,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Student,Hyderabad,B2019058,GIM,
94,6,9,4,8,6,7,7,8,6,9,8,7,7,1,Xiaomi,Online,Orange,Less Often,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Student,Other towns in North,B2019042,Goa Institute of Management,
95,9,9,5,4,10,9,0,8,10,9,1,8,5,3,Samsung,Online,I do not consume soft drinks at all,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Female,Student,Mumbai,B2019047,GIM,
96,9,9,5,7,9,7,7,7,6,9,4,8,7,6,Xiaomi,Online,Fruit flavour,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Female,Student,Kolkata,B2019057,Goa Institute of Management,
97,10,10,8,5,5,2,7,8,4,8,5,6,4,5,Xiaomi,Online,White/Colourless,Never,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Female,Student,Kolkata,B2019054,Goa institute of Management,
98,4,10,8,7,1,3,8,10,3,10,2,0,9,2,Apple,Retail,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Student,Mumbai,B2019039,Goa Institute of Management,
99,7,8,4,4,5,4,1,8,3,5,1,1,3,9,Apple,Online,I do not consume soft drinks at all,Everyday,Everyday,Everyday,Everyday,Online,Retail Stores,18-23,Female,Student,Delhi,B2019021,Goa Institute of Management,
100,8,9,5,8,7,6,8,4,7,10,3,5,7,8,Samsung,Retail,Cola,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,18-23,Male,Student,Other towns in West,B2019033 ,Goa Institute of Management ,
101,2,7,5,9,9,6,8,5,8,9,8,8,9,5,Apple,Online,White/Colourless,Everyday,Less Often,Everyday,Everyday,Online,Online,24-28,Female,Student,Other towns in East,B2019015,Goa Institute of Management,
102,6,10,3,7,9,6,2,6,9,8,4,8,7,1,Xiaomi,Online,Cola,Never,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Student,Other towns in East,B2019036,GIM,
103,7,9,4,10,10,3,7,10,10,7,1,7,10,8,Others,Retail,Cola,Never,Never,Everyday,Less Often,Online,Retail Stores,18-23,Female,Student,Other towns in East,B2019051,Goa institute of Management,
104,7,9,9,9,8,9,8,7,9,9,3,7,8,1,One Plus,Online,Orange,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Female,Student,Other towns in East,B2019050,Goa Institute Of Management,
105,0,10,0,0,10,0,10,0,10,10,10,10,0,10,Xiaomi,Online,Fruit flavour,Never,Never,Less Often,Never,Online,Online,24-28,Male,Student,Delhi,B2019017,Goa Institute of management,
106,3,10,7,9,10,6,9,9,9,9,7,8,10,6,One Plus,Online,Fruit flavour,Everyday,Less Often,Everyday,Less Often,Online,Online,18-23,Female,Student,Other towns in West,B2019029,Goa Institute of Management,
107,2,2,7,5,10,6,10,0,10,10,3,0,0,3,Xiaomi,Retail,I do not consume soft drinks at all,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Female,Student,Other towns in South,B2019056,Gim,
108,4,8,6,2,8,5,9,2,4,9,7,7,9,9,Xiaomi,Online,White/Colourless,Everyday,Everyday,Everyday,Less Often,Online,Online,24-28,Female,Student,Kolkata,C20027,Praxis,
109,2,8,0,10,10,0,10,2,1,8,5,0,3,8,Samsung,Retail,White/Colourless,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Kolkata,C20012,Praxis Business School,
110,7,8,5,4,9,4,5,3,8,7,8,3,3,8,Samsung,Retail,Cola,Everyday,Less Often,Less Often,Less Often,Online,Retail Stores,29-33,Male,Student,Kolkata,C20020,Praxis Business School,
111,7,9,8,6,7,9,10,8,6,9,2,4,8,5,One Plus,Online,White/Colourless,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Delhi,C20018,Praxis Business School,
112,5,10,10,10,0,0,8,5,10,10,0,0,1,10,One Plus,Online,I do not consume soft drinks at all,Everyday,Everyday,Everyday,Everyday,Online,Online,24-28,Female,Student,Mumbai,C20009,Praxis Buisness School,
113,8,10,2,7,9,0,5,2,8,9,5,9,2,9,Others,Online,Cola,Never,Everyday,Never,Never,Online,Retail Stores,24-28,Male,Student,Chennai,C20022,Praxis Business School,
114,7,9,8,8,9,8,6,3,5,9,7,0,7,3,Others,Online,Cola,Everyday,Everyday,Everyday,Everyday,Online,Retail Stores,24-28,Male,Student,Chennai,C20030,Praxis business school,
115,6,7,7,9,9,9,9,9,9,6,4,2,6,2,Others,Online,Fruit flavour,Less Often,Less Often,Less Often,Never,Online,Retail Stores,18-23,Male,Student,Other towns in South,c20017,praxis business school,
116,5,6,4,6,6,5,5,6,6,7,6,7,6,5,Others,Retail,Orange,Everyday,Everyday,Less Often,Less Often,Newspaper,Retail Stores,24-28,Male,Student,Other towns in North,C20007,Praxis Business School,
117,3,8,3,8,5,8,2,2,5,8,5,2,5,5,Samsung,Online,Cola,Everyday,Everyday,Less Often,Never,Online,Retail Stores,24-28,Male,Student,Delhi,C20013,Praxis Business School,
118,7,10,9,10,5,10,3,9,10,10,1,2,9,5,Xiaomi,Retail,White/Colourless,Less Often,Everyday,Everyday,Never,Online,Retail Stores,24-28,Male,Student,Other towns in East,C20019,PRAXIS BUSINESS SCHOOL,
119,7,10,3,8,10,3,3,3,10,10,10,10,3,3,Xiaomi,Online,White/Colourless,Everyday,Everyday,Less Often,Less Often,Online,Online,24-28,Male,Student,Other towns in East,C20014,Praxis,
120,8,9,8,1,5,8,7,0,7,5,3,0,0,5,Others,Online,I do not consume soft drinks at all,Less Often,Never,Never,Less Often,Online,Online,24-28,Male,Student,Other towns in North,C20002,"Praxis Business School, Kolkata",
121,6,9,6,10,10,6,6,5,8,9,6,5,8,8,One Plus,Online,Fruit flavour,Everyday,Everyday,Everyday,Less Often,Online,Online,24-28,Male,Student,Other towns in North,C20015,Praxis business school,
122,7,9,4,8,8,6,4,4,7,9,8,4,2,5,Others,Online,I do not consume soft drinks at all,Never,Less Often,Never,Never,Online,Retail Stores,29-33,Male,Working Executive,Other towns in North,C20001,Praxis,
123,3,10,4,10,10,4,10,5,10,10,5,4,0,10,Xiaomi,Online,I do not consume soft drinks at all,Never,Everyday,Less Often,Never,Online,Retail Stores,29-33,Male,Student,Kolkata,C20003,Praxis,
124,7,9,8,5,10,8,2,10,3,8,6,8,4,6,Xiaomi,Online,I do not consume soft drinks at all,Less Often,Everyday,Everyday,Less Often,Newspaper,Retail Stores,24-28,Male,Student,Other towns in North,C20016,Praxis Business School,
